text,favoriteCount,created,truncated,id,screenName,retweetCount,isRetweet,longitude,latitude,location,language,sentiment
OK Thanks,0,8/4/2018 5:05,False,1.02561e+18,Vangalee37,0,False,,,<f0><U+009F><U+0087><U+00B3><f0><U+009F><U+0087><U+00AC>,en,1
I'd be very happy if this matter is quickly treated and my money is returned Thanks in anticipation,0,8/4/2018 4:42,False,1.0256e+18,Vangalee37,0,False,,,<f0><U+009F><U+0087><U+00B3><f0><U+009F><U+0087><U+00AC>,en,1
Here are the screenshots of my debit alert,0,8/4/2018 4:40,False,1.0256e+18,Vangalee37,0,False,,,<f0><U+009F><U+0087><U+00B3><f0><U+009F><U+0087><U+00AC>,en,1
Around  Ever since then he's blocked me and he's no more reachable and I'm yet to receive a,0,8/4/2018 4:35,True,1.0256e+18,Vangalee37,0,False,,,<f0><U+009F><U+0087><U+00B3><f0><U+009F><U+0087><U+00AC>,en,1
hello just got an android phone tried to reg my mobile apk is telling me profile not allowed plz w,0,8/4/2018 4:34,True,1.0256e+18,Oluwanathzy,0,False,,,Nigeria,en,0
He also went on to tell me that I should put his matter on all social media platforms which is wha,0,8/4/2018 4:27,True,1.0256e+18,Vangalee37,0,False,,,<f0><U+009F><U+0087><U+00B3><f0><U+009F><U+0087><U+00AC>,en,1
I saw an advert of data plans of various service providers and I decided to patronize the seller,0,8/4/2018 4:21,True,1.0256e+18,Vangalee37,0,False,,,<f0><U+009F><U+0087><U+00B3><f0><U+009F><U+0087><U+00AC>,en,1
Hi I'm a serving cooper missed placed my account number can't remember it  so would appreciate i,0,8/4/2018 0:30,True,1.02554e+18,Benson56732866,0,False,,,,en,1
Hi I get huge deductions from my account  the last being about N yesterday I do hope this,0,8/3/2018 23:50,True,1.02553e+18,Agwemuria,0,False,,,LAGOS,en,1
Same way   have decided to be unfortunate I get charged an average of k daily on PO,0,8/3/2018 22:43,True,1.02551e+18,goddammy,0,False,,,Lagos,en,0
please my account was debited on  and i went to the bank branch at bodija ibadan i was t,0,8/3/2018 22:30,True,1.02551e+18,akanbioluwatob3,0,False,,,,en,0
k from diff account u can look from d account I sent earlier,0,8/3/2018 22:11,False,1.0255e+18,chrisgate,0,False,,,"Lagos, Nigeria",en,0
I'm sending thru Mobil app,0,8/3/2018 22:09,False,1.0255e+18,chrisgate,0,False,,,"Lagos, Nigeria",en,0
My online and mobile banking are locked I urgently need access to it,0,8/3/2018 21:48,False,1.0255e+18,EmilyNkanga,0,False,,,London,en,0
Abeg I want access to MY money,0,8/3/2018 21:23,False,1.02549e+18,EmilyNkanga,1,False,,,London,en,0
Never mind Acc don bal,0,8/3/2018 21:22,False,1.02549e+18,naijacaesar,0,False,,,my house. comma beat me,en,1
Accepted,0,8/3/2018 21:15,False,1.02549e+18,atmfash,0,False,,,Nigeria,en,1
And how long does it take to transfer to other bank I transfer since it yet to deliver to my other bank account,0,8/3/2018 21:09,False,1.02549e+18,chrisgate,0,False,,,"Lagos, Nigeria",en,0
Good evening sir  I paid my go tv subscription which is  naira with quickteller using my visa,0,8/3/2018 20:43,True,1.02548e+18,PhinehasEkene,0,False,,,Lagos ,en,1
I don't think it makes a meaning anymore Pls teach your employees  to respect their customers an,0,8/3/2018 20:41,True,1.02548e+18,sammysnim,0,False,,,,en,0
even after I was told that my money will refunded till now no such as taken place Who will stop,0,8/3/2018 20:23,True,1.02548e+18,godmindexra,0,False,,,Lagos. Nigeria ,en,0
